"graduate" "gender" "salary" "grad_date" "college"
"1" 1 1 28900 1 7
"2" 2 1 28000 1 7
"3" 3 1 27500 1 1
"4" 4 1 30300 1 7
"5" 5 1 17408 1 1
"6" 6 0 31700 1 7
"7" 7 1 26000 1 3
"8" 8 1 25000 1 7
"9" 9 0 20000 1 1
"10" 10 1 18000 1 1
"11" 11 1 23000 1 4
"12" 12 1 27600 1 4
"13" 13 1 32700 1 7
"14" 14 0 21500 1 1
"15" 15 1 25000 1 1
"16" 16 0 18000 1 4
"17" 17 1 38400 1 7
"18" 18 0 26500 1 1
"19" 19 0 26500 1 1
"20" 20 0 31000 1 1
"21" 21 1 29000 1 7
"22" 22 1 32000 1 7
"23" 23 1 33500 1 7
"24" 24 1 27000 1 7
"25" 25 0 29000 1 1
"26" 26 1 19000 1 4
"27" 27 0 20900 1 8
"28" 28 0 29000 1 1
"29" 29 0 35300 1 1
"30" 30 0 24200 1 1
"31" 31 1 41000 1 3
"32" 32 1 36300 1 7
"33" 33 0 23000 1 6
"34" 34 1 25000 1 4
"35" 35 1 18200 1 4
"36" 36 1 25400 1 7
"37" 37 1 24000 1 1
"38" 38 0 20000 1 1
"39" 39 0 22000 1 4
"40" 40 0 32000 1 7
"41" 41 1 28200 1 7
"42" 42 1 15000 1 1
"43" 43 0 27000 1 1
"44" 44 1 30000 1 4
"45" 45 0 18800 1 4
"46" 46 0 21500 1 4
"47" 47 1 23000 1 3
"48" 48 0 25500 1 7
"49" 49 1 25000 1 4
"50" 50 0 13500 1 1
"51" 51 1 23600 1 4
"52" 52 0 19000 1 4
"53" 53 1 30600 1 7
"54" 54 1 27500 1 1
"55" 55 0 26300 1 1
"56" 56 0 30000 1 4
"57" 57 1 24000 1 4
"58" 58 1 28000 1 7
"59" 59 1 27100 1 7
"60" 60 1 26400 1 7
"61" 61 0 15000 1 1
"62" 62 0 25000 1 1
"63" 63 1 27000 1 1
"64" 64 1 24500 1 4
"65" 65 0 24500 1 4
"66" 66 1 18300 1 1
"67" 67 1 24500 1 7
"68" 68 1 30100 1 7
"69" 69 0 25800 1 4
"70" 70 1 27300 1 3
"71" 71 0 19000 1 4
"72" 72 1 26500 1 4
"73" 73 1 32000 1 7
"74" 74 1 20000 1 1
